country_of_incidence,sub_region,incidence_datetime,incident_details,culprit_vessel_entity,victim_vessel_entity,type_of_incident__piracy,location_lat,location_lon
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:34,I am detail 35,627979021,637630381,,0.221988,5.150895
TG,EEZ,2015-08-22 14:37:39.061624+00:35,I am detail 36,,637956098,suspicious approach,0.215497,5.140195
CI,Territorial waters,2017-08-22 14:37:39.061624+00:36,I am detail 37,,638281815,suspicious approach,0.213055,5.135197
GH,EEZ,2018-08-22 14:37:39.061624+00:37,I am detail 38,627979022,638607532,suspicious approach,0.212055,5.133128
LR,Territorial waters,2022-08-22 14:37:39.061624+00:38,I am detail 39,,638933249,,0.231308,5.16379
TG,Ports/Anchorage,2019-08-22 14:37:39.061624+00:39,I am detail 40,,639258967,attempted,0.230758,5.163043
CI,EEZ,2022-08-22 14:37:39.061624+00:40,I am detail 41,,639584684,others,0.228055,5.159272
GH,Territorial waters,2022-08-22 14:37:39.061624+00:41,I am detail 42,,639910401,,0.225588,5.155878
LR,Ports/Anchorage,2015-08-22 14:37:39.061624+00:42,I am detail 43,627979023,640236118,,0.247188,5.186057
TG,EEZ,2017-08-22 14:37:39.061624+00:43,I am detail 44,,640561835,,0.243442,5.180722
CI,Territorial waters,2018-08-22 14:37:39.061624+00:44,I am detail 45,,640887553,kidnap,0.239835,5.175637
GH,EEZ,2022-08-22 14:37:39.061624+00:45,I am detail 46,627979024,641213270,kidnap,0.232412,5.165338
LR,Territorial waters,2019-08-22 14:37:39.061624+00:46,I am detail 47,,641538987,,0.105267,4.985458
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:47,I am detail 48,,641864704,armed robbery,0.102215,4.983205
CI,EEZ,2022-08-22 14:37:39.061624+00:48,I am detail 49,,642190421,armed robbery,0.132623,5.003582
GH,Territorial waters,2015-08-22 14:37:39.061624+00:49,I am detail 50,,642516139,armed robbery,0.132208,5.003342
LR,Ports/Anchorage,2017-08-22 14:37:39.061624+00:50,I am detail 51,627979025,642841856,,0.120225,4.995865
TG,EEZ,2018-08-22 14:37:39.061624+00:51,I am detail 52,,643167573,,0.117043,4.99387
CI,Territorial waters,2022-08-22 14:37:39.061624+00:52,I am detail 53,,643493290,,0.148098,5.013243
GH,EEZ,2019-08-22 14:37:39.061624+00:53,I am detail 54,627979026,643819007,vessel hijacking,0.144993,5.011287
LR,Territorial waters,2022-08-22 14:37:39.061624+00:54,I am detail 55,,644144725,vessel hijacking,0.142605,5.009795
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:55,I am detail 56,,644470442,theft,0.136985,5.006302
CI,EEZ,2015-08-22 14:37:39.061624+00:56,I am detail 57,,644796159,,0.156293,5.016713
GH,Territorial waters,2017-08-22 14:37:39.061624+00:57,I am detail 58,,645121876,suspicious approach,0.156303,5.01674
LR,Ports/Anchorage,2018-08-22 14:37:39.061624+00:58,I am detail 59,627979027,645447593,suspicious approach,0.156353,5.016797
TG,EEZ,2022-08-22 14:37:39.061624+00:59,I am detail 60,,645773311,suspicious approach,0.153637,5.016703
CI,Territorial waters,2019-08-22 14:37:39.061624+00:60,I am detail 61,,646099028,,0.155323,5.015997
GH,EEZ,2022-08-22 14:37:39.061624+00:61,I am detail 62,627979028,646424745,attempted,0.155843,5.015183
LR,Territorial waters,2022-08-22 14:37:39.061624+00:62,I am detail 63,,646750462,others,0.156427,5.016657
TG,Ports/Anchorage,2015-08-22 14:37:39.061624+00:63,I am detail 64,,647076179,,0.1563,5.016695
CI,EEZ,2017-08-22 14:37:39.061624+00:64,I am detail 65,,647401897,,0.1553,5.031983
GH,Territorial waters,2018-08-22 14:37:39.061624+00:65,I am detail 66,,647727614,,0.155247,5.025558
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:66,I am detail 67,627979029,648053331,kidnap,0.573978,4.87236
TG,EEZ,2019-08-22 14:37:39.061624+00:67,I am detail 68,,648379048,kidnap,0.557627,4.869325
CI,Territorial waters,2022-08-22 14:37:39.061624+00:68,I am detail 69,,648704765,,0.561567,4.870047
GH,EEZ,2022-08-22 14:37:39.061624+00:69,I am detail 70,627979030,649030483,armed robbery,0.567368,4.87111
LR,Territorial waters,2015-08-22 14:37:39.061624+00:70,I am detail 71,,649356200,armed robbery,0.56776,4.871173
TG,Ports/Anchorage,2017-08-22 14:37:39.061624+00:71,I am detail 72,,649681917,armed robbery,0.542582,4.864725
CI,EEZ,2018-08-22 14:37:39.061624+00:72,I am detail 73,,650007634,,0.544298,4.866922
GH,Territorial waters,2022-08-22 14:37:39.061624+00:73,I am detail 74,,650333351,,0.550975,4.868155
LR,Ports/Anchorage,2019-08-22 14:37:39.061624+00:74,I am detail 75,627979031,650659069,,0.550975,4.868155
TG,EEZ,2022-08-22 14:37:39.061624+00:75,I am detail 76,,650984786,vessel hijacking,0.531352,4.845928
CI,Territorial waters,2022-08-22 14:37:39.061624+00:76,I am detail 77,,651310503,vessel hijacking,0.536332,4.853653
GH,EEZ,2015-08-22 14:37:39.061624+00:77,I am detail 78,627979032,651636220,theft,0.543247,4.863813
LR,Territorial waters,2017-08-22 14:37:39.061624+00:78,I am detail 79,,651961937,,0.54265,4.86588
TG,Ports/Anchorage,2018-08-22 14:37:39.061624+00:79,I am detail 80,,652287655,suspicious approach,0.516472,4.823295
CI,EEZ,2022-08-22 14:37:39.061624+00:80,I am detail 81,,652613372,suspicious approach,0.516908,4.823995
GH,Territorial waters,2019-08-22 14:37:39.061624+00:81,I am detail 82,,652939089,suspicious approach,0.520475,4.829495
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:82,I am detail 83,627979033,653264806,,0.525813,4.837522
TG,EEZ,2022-08-22 14:37:39.061624+00:83,I am detail 84,,653590523,attempted,0.509573,4.813075
CI,Territorial waters,2015-08-22 14:37:39.061624+00:84,I am detail 85,,653916241,others,0.513527,4.818948
GH,EEZ,2017-08-22 14:37:39.061624+00:85,I am detail 86,627979034,654241958,,0.514007,4.819638
LR,Territorial waters,2018-08-22 14:37:39.061624+00:86,I am detail 87,,654567675,,0.514488,4.820367
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:87,I am detail 88,,654893392,,0.715002,5.028753
CI,EEZ,2019-08-22 14:37:39.061624+00:88,I am detail 89,,655219109,kidnap,0.717498,5.02837
GH,Territorial waters,2022-08-22 14:37:39.061624+00:89,I am detail 90,,655544827,kidnap,0.720492,5.027893
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:90,I am detail 91,627979035,655870544,,0.723038,5.027518
TG,EEZ,2015-08-22 14:37:39.061624+00:91,I am detail 92,,656196261,armed robbery,0.712003,5.029203
CI,Territorial waters,2017-08-22 14:37:39.061624+00:92,I am detail 93,,656521978,armed robbery,0.712957,5.029055
GH,EEZ,2018-08-22 14:37:39.061624+00:93,I am detail 94,627979036,656847695,armed robbery,0.714055,5.028902
LR,Territorial waters,2022-08-22 14:37:39.061624+00:94,I am detail 95,,657173413,,0.715002,5.028753
TG,Ports/Anchorage,2019-08-22 14:37:39.061624+00:95,I am detail 96,,657499130,,0.70944,5.029582
CI,EEZ,2022-08-22 14:37:39.061624+00:96,I am detail 97,,657824847,,0.709945,5.029513
GH,Territorial waters,2022-08-22 14:37:39.061624+00:97,I am detail 98,,658150564,vessel hijacking,0.710502,5.029428
LR,Ports/Anchorage,2015-08-22 14:37:39.061624+00:98,I am detail 99,627979037,658476281,vessel hijacking,0.711498,5.029273
TG,EEZ,2017-08-22 14:37:39.061624+00:99,I am detail 100,,658801999,theft,0.703423,5.030512
CI,Territorial waters,2018-08-22 14:37:39.061624+00:00,I am detail 101,,659127716,,0.70392,5.030433
GH,EEZ,2022-08-22 14:37:39.061624+00:01,I am detail 102,627979038,659453433,suspicious approach,0.70642,5.030045
LR,Territorial waters,2019-08-22 14:37:39.061624+00:02,I am detail 103,,659779150,suspicious approach,0.706927,5.029977
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:03,I am detail 104,,660104867,suspicious approach,0.684637,5.03326
CI,EEZ,2022-08-22 14:37:39.061624+00:04,I am detail 105,,660430585,,0.686545,5.032988
GH,Territorial waters,2015-08-22 14:37:39.061624+00:05,I am detail 106,,660756302,attempted,0.694352,5.031815
LR,Ports/Anchorage,2017-08-22 14:37:39.061624+00:06,I am detail 107,627979039,661082019,others,0.695977,5.031605
TG,EEZ,2018-08-22 14:37:39.061624+00:07,I am detail 108,,661407736,,0.669247,5.035588
CI,Territorial waters,2022-08-22 14:37:39.061624+00:08,I am detail 109,,661733453,,0.670258,5.03544
GH,EEZ,2019-08-22 14:37:39.061624+00:09,I am detail 110,627979040,662059171,,0.675468,5.034613
LR,Territorial waters,2022-08-22 14:37:39.061624+00:10,I am detail 111,,662384888,kidnap,0.68033,5.033908
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:11,I am detail 112,,662710605,kidnap,0.653975,5.037555
CI,EEZ,2015-08-22 14:37:39.061624+00:12,I am detail 113,,663036322,,0.658733,5.037102
GH,Territorial waters,2017-08-22 14:37:39.061624+00:13,I am detail 114,,663362039,armed robbery,0.664492,5.036275
LR,Ports/Anchorage,2018-08-22 14:37:39.061624+00:14,I am detail 115,627979041,663687757,armed robbery,0.667367,5.035877
TG,EEZ,2022-08-22 14:37:39.061624+00:15,I am detail 116,,664013474,armed robbery,0.645608,5.04001
CI,Territorial waters,2019-08-22 14:37:39.061624+00:16,I am detail 117,,664339191,,0.645783,5.039378
GH,EEZ,2022-08-22 14:37:39.061624+00:17,I am detail 118,627979042,664664908,,0.645992,5.038998
LR,Territorial waters,2022-08-22 14:37:39.061624+00:18,I am detail 119,,664990625,,0.647568,5.037932
TG,Ports/Anchorage,2015-08-22 14:37:39.061624+00:19,I am detail 120,,665316343,vessel hijacking,0.841102,5.032103
CI,EEZ,2017-08-22 14:37:39.061624+00:20,I am detail 121,,665642060,vessel hijacking,0.846747,5.033818
GH,Territorial waters,2018-08-22 14:37:39.061624+00:21,I am detail 122,,665967777,theft,0.856188,5.036633
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:22,I am detail 123,627979043,666293494,,0.862315,5.038438
TG,EEZ,2019-08-22 14:37:39.061624+00:23,I am detail 124,,666619211,suspicious approach,0.825212,5.027295
CI,Territorial waters,2022-08-22 14:37:39.061624+00:24,I am detail 125,,666944929,suspicious approach,0.830772,5.028998
GH,EEZ,2022-08-22 14:37:39.061624+00:25,I am detail 126,627979044,667270646,suspicious approach,0.831202,5.02911
LR,Territorial waters,2015-08-22 14:37:39.061624+00:26,I am detail 127,,667596363,,0.837395,5.030955
TG,Ports/Anchorage,2017-08-22 14:37:39.061624+00:27,I am detail 128,,667922080,attempted,0.82048,5.027858
CI,EEZ,2018-08-22 14:37:39.061624+00:28,I am detail 129,,668247797,others,0.820705,5.026802
GH,Territorial waters,2022-08-22 14:37:39.061624+00:29,I am detail 130,,668573515,,0.820705,5.026802
LR,Ports/Anchorage,2019-08-22 14:37:39.061624+00:30,I am detail 131,627979045,668899232,,0.825212,5.027295
TG,EEZ,2022-08-22 14:37:39.061624+00:31,I am detail 132,,669224949,,0.820478,5.029002
CI,Territorial waters,2022-08-22 14:37:39.061624+00:32,I am detail 133,,669550666,kidnap,0.823357,5.03017
GH,EEZ,2015-08-22 14:37:39.061624+00:33,I am detail 134,627979046,669876383,kidnap,0.822727,5.030837
LR,Territorial waters,2017-08-22 14:37:39.061624+00:34,I am detail 135,,670202101,,0.821052,5.029243
TG,Ports/Anchorage,2018-08-22 14:37:39.061624+00:35,I am detail 136,,670527818,armed robbery,0.785858,5.02551
CI,EEZ,2022-08-22 14:37:39.061624+00:36,I am detail 137,,670853535,armed robbery,0.796493,5.026493
GH,Territorial waters,2019-08-22 14:37:39.061624+00:37,I am detail 138,,671179252,armed robbery,0.801922,5.027042
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:38,I am detail 139,627979047,671504969,,0.81461,5.028202
TG,EEZ,2022-08-22 14:37:39.061624+00:39,I am detail 140,,671830687,,0.76973,5.025143
CI,Territorial waters,2015-08-22 14:37:39.061624+00:40,I am detail 141,,672156404,,0.774105,5.025187
GH,EEZ,2017-08-22 14:37:39.061624+00:41,I am detail 142,627979048,672482121,vessel hijacking,0.781,5.025195
LR,Territorial waters,2018-08-22 14:37:39.061624+00:42,I am detail 143,,672807838,vessel hijacking,0.783393,5.025208
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:43,I am detail 144,,673133555,theft,0.748883,5.02524
CI,EEZ,2019-08-22 14:37:39.061624+00:44,I am detail 145,,673459273,,0.755362,5.025052
GH,Territorial waters,2022-08-22 14:37:39.061624+00:45,I am detail 146,,673784990,suspicious approach,0.763758,5.025143
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:46,I am detail 147,627979049,674110707,suspicious approach,0.766725,5.025175
TG,EEZ,2015-08-22 14:37:39.061624+00:47,I am detail 148,,674436424,suspicious approach,0.72349,5.027452
CI,Territorial waters,2017-08-22 14:37:39.061624+00:48,I am detail 149,,674762141,,0.73599,5.026212
GH,EEZ,2018-08-22 14:37:39.061624+00:49,I am detail 150,627979050,675087859,attempted,0.744362,5.02556
LR,Territorial waters,2022-08-22 14:37:39.061624+00:50,I am detail 151,,675413576,others,0.748883,5.02524
TG,Ports/Anchorage,2019-08-22 14:37:39.061624+00:51,I am detail 152,,675739293,,0.912888,5.054215
CI,EEZ,2022-08-22 14:37:39.061624+00:52,I am detail 153,,676065010,,0.912268,5.055855
GH,Territorial waters,2022-08-22 14:37:39.061624+00:53,I am detail 154,,676390727,,0.910217,5.061072
LR,Ports/Anchorage,2015-08-22 14:37:39.061624+00:54,I am detail 155,627979051,676716445,kidnap,0.909848,5.06202
TG,EEZ,2017-08-22 14:37:39.061624+00:55,I am detail 156,,677042162,kidnap,0.913687,5.05154
CI,Territorial waters,2018-08-22 14:37:39.061624+00:56,I am detail 157,,677367879,,0.913418,5.052378
GH,EEZ,2022-08-22 14:37:39.061624+00:57,I am detail 158,627979052,677693596,armed robbery,0.91318,5.053283
LR,Territorial waters,2019-08-22 14:37:39.061624+00:58,I am detail 159,,678019313,armed robbery,0.91318,5.053283
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:59,I am detail 160,,678345031,armed robbery,0.914995,5.047367
CI,EEZ,2022-08-22 14:37:39.061624+00:60,I am detail 161,,678670748,,0.914732,5.048115
GH,Territorial waters,2015-08-22 14:37:39.061624+00:61,I am detail 162,,678996465,,0.91446,5.04895
LR,Ports/Anchorage,2017-08-22 14:37:39.061624+00:62,I am detail 163,627979053,679322182,,0.91423,5.049752
TG,EEZ,2018-08-22 14:37:39.061624+00:63,I am detail 164,,679647899,vessel hijacking,0.913058,5.046638
CI,Territorial waters,2022-08-22 14:37:39.061624+00:64,I am detail 165,,679973617,vessel hijacking,0.91337,5.046073
GH,EEZ,2019-08-22 14:37:39.061624+00:65,I am detail 166,627979054,680299334,theft,0.913568,5.045602
LR,Territorial waters,2022-08-22 14:37:39.061624+00:66,I am detail 167,,680625051,,0.914815,5.045537
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:67,I am detail 168,,680950768,suspicious approach,0.913548,5.044712
CI,EEZ,2015-08-22 14:37:39.061624+00:68,I am detail 169,,681276485,suspicious approach,0.914337,5.044525
GH,Territorial waters,2017-08-22 14:37:39.061624+00:69,I am detail 170,,681602203,suspicious approach,0.914118,5.047217
LR,Ports/Anchorage,2018-08-22 14:37:39.061624+00:70,I am detail 171,627979055,681927920,,0.91306,5.046772
TG,EEZ,2022-08-22 14:37:39.061624+00:71,I am detail 172,,682253637,attempted,0.913545,5.048053
CI,Territorial waters,2019-08-22 14:37:39.061624+00:72,I am detail 173,,682579354,others,0.91416,5.04599
GH,EEZ,2022-08-22 14:37:39.061624+00:73,I am detail 174,627979056,682905071,,0.91393,5.045437
LR,Territorial waters,2022-08-22 14:37:39.061624+00:74,I am detail 175,,683230789,,0.913785,5.045225
TG,Ports/Anchorage,2015-08-22 14:37:39.061624+00:75,I am detail 176,,683556506,,0.900452,5.049032
CI,EEZ,2017-08-22 14:37:39.061624+00:76,I am detail 177,,683882223,kidnap,0.90921,5.049883
GH,Territorial waters,2018-08-22 14:37:39.061624+00:77,I am detail 178,,684207940,kidnap,0.911883,5.04965
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:78,I am detail 179,627979057,684533657,,0.9128,5.049137
TG,EEZ,2019-08-22 14:37:39.061624+00:79,I am detail 180,,684859375,armed robbery,0.886552,5.045488
CI,Territorial waters,2022-08-22 14:37:39.061624+00:80,I am detail 181,,685185092,armed robbery,0.89093,5.046717
GH,EEZ,2022-08-22 14:37:39.061624+00:81,I am detail 182,627979058,685510809,armed robbery,0.894697,5.047805
LR,Territorial waters,2015-08-22 14:37:39.061624+00:82,I am detail 183,,685836526,,0.898008,5.048762
TG,Ports/Anchorage,2017-08-22 14:37:39.061624+00:83,I am detail 184,,686162243,,0.98524,4.667283
CI,EEZ,2018-08-22 14:37:39.061624+00:84,I am detail 185,,686487961,,0.979885,4.661738
GH,Territorial waters,2022-08-22 14:37:39.061624+00:85,I am detail 186,,686813678,vessel hijacking,0.978587,4.65901
LR,Ports/Anchorage,2019-08-22 14:37:39.061624+00:86,I am detail 187,627979059,687139395,vessel hijacking,0.979428,4.659468
TG,EEZ,2022-08-22 14:37:39.061624+00:87,I am detail 188,,687465112,theft,0.985157,4.665957
CI,Territorial waters,2022-08-22 14:37:39.061624+00:88,I am detail 189,,687790829,,0.985,4.667863
GH,EEZ,2015-08-22 14:37:39.061624+00:89,I am detail 190,627979060,688116547,suspicious approach,0.98517,4.668182
LR,Territorial waters,2017-08-22 14:37:39.061624+00:90,I am detail 191,,688442264,suspicious approach,0.985375,4.667805
TG,Ports/Anchorage,2018-08-22 14:37:39.061624+00:91,I am detail 192,,688767981,suspicious approach,0.985317,4.663342
CI,EEZ,2022-08-22 14:37:39.061624+00:92,I am detail 193,,689093698,,0.984387,4.665833
GH,Territorial waters,2019-08-22 14:37:39.061624+00:93,I am detail 194,,689419415,attempted,0.98344,4.667165
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:94,I am detail 195,627979061,689745133,others,0.982882,4.666327
TG,EEZ,2022-08-22 14:37:39.061624+00:95,I am detail 196,,690070850,,0.989745,4.63696
CI,Territorial waters,2015-08-22 14:37:39.061624+00:96,I am detail 197,,690396567,,0.988878,4.642492
GH,EEZ,2017-08-22 14:37:39.061624+00:97,I am detail 198,627979062,690722284,,0.98847,4.645253
LR,Territorial waters,2018-08-22 14:37:39.061624+00:98,I am detail 199,,691048001,kidnap,0.987003,4.655168
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:99,I am detail 200,,691373719,kidnap,0.840163,5.109257
